Order ID,Customer,Item,Qty,Unit Price,Total,Notes
O-1001,Customer 1,Product 1,2,3.00,6.00
O-1002,Customer 2,Product 2,3,4.00,12.00
O-1003,Customer 3,Product 3,4,5.00,20.00
O-1004,Customer 4,Product 4,5,6.00,30.00
O-1005,Customer 5,Product 5,6,7.00,42.00
O-1006,Customer 6,Product 6,7,8.00,56.00
O-1007,Customer 7,Product 7,1,9.00,9.00
O-1008,Customer 8,Product 8,2,10.00,20.00
O-1009,Customer 9,Product 9,3,11.00,33.00
O-1010,Customer 10,Product 0,4,12.00,48.00
O-1011,Customer 11,Product 1,5,13.00,65.00
O-1012,Customer 12,Product 2,6,14.00,84.00
O-1013,Customer 13,Product 3,7,15.00,105.00
O-1014,Customer 14,Product 4,1,16.00,16.00
O-1015,Customer 15,Product 5,2,17.00,34.00
O-1016,Customer 16,Product 6,3,18.00,54.00
O-1017,Customer 17,Product 7,4,19.00,76.00
O-1018,Customer 18,Product 8,5,20.00,100.00
O-1019,Customer 19,Product 9,6,21.00,126.00
O-1020,Customer 20,Product 0,7,22.00,154.00
O-1021,Customer 21,Product 1,1,23.00,23.00
O-1022,Customer 22,Product 2,2,24.00,48.00
O-1023,Customer 23,Product 3,3,25.00,75.00
O-1024,Customer 24,Product 4,4,26.00,104.00
O-1025,Customer 25,Product 5,5,27.00,135.00
O-1026,Customer 26,Product 6,6,28.00,168.00
O-1027,Customer 27,Product 7,7,29.00,203.00
O-1028,Customer 28,Product 8,1,30.00,30.00
O-1029,Customer 29,Product 9,2,31.00,62.00
O-1030,Customer 30,Product 0,3,32.00,96.00
O-1031,Customer 31,Product 1,4,33.00,132.00
O-1032,Customer 32,Product 2,5,34.00,170.00
O-1033,Customer 33,Product 3,6,35.00,210.00
O-1034,Customer 34,Product 4,7,36.00,252.00
O-1035,Customer 35,Product 5,1,37.00,37.00
Order ID,Customer,Item,Qty,Unit Price,Total,Notes
O-1036,Customer 36,Product 6,2,38.00,76.00
O-1037,Customer 37,Product 7,3,39.00,117.00
O-1038,Customer 38,Product 8,4,40.00,160.00
O-1039,Customer 39,Product 9,5,41.00,205.00
O-1040,Customer 40,Product 0,6,42.00,252.00
O-1041,Customer 41,Product 1,7,43.00,301.00
O-1042,Customer 42,Product 2,1,44.00,44.00
O-1043,Customer 43,Product 3,2,45.00,90.00
O-1044,Customer 44,Product 4,3,46.00,138.00
O-1045,Customer 45,Product 5,4,47.00,188.00
O-1046,Customer 46,Product 6,5,48.00,240.00
O-1047,Customer 47,Product 7,6,49.00,294.00
O-1048,Customer 48,Product 8,7,50.00,350.00
O-1049,Customer 49,Product 9,1,51.00,51.00
O-1050,Customer 50,Product 0,2,2.00,4.00
O-1051,Customer 51,Product 1,3,3.00,9.00
O-1052,Customer 52,Product 2,4,4.00,16.00
O-1053,Customer 53,Product 3,5,5.00,25.00
O-1054,Customer 54,Product 4,6,6.00,36.00
O-1055,Customer 55,Product 5,7,7.00,49.00
O-1056,Customer 56,Product 6,1,8.00,8.00
O-1057,Customer 57,Product 7,2,9.00,18.00
O-1058,Customer 58,Product 8,3,10.00,30.00
O-1059,Customer 59,Product 9,4,11.00,44.00
O-1060,Customer 60,Product 0,5,12.00,60.00
O-1061,Customer 61,Product 1,6,13.00,78.00
O-1062,Customer 62,Product 2,7,14.00,98.00
O-1063,Customer 63,Product 3,1,15.00,15.00
O-1064,Customer 64,Product 4,2,16.00,32.00
O-1065,Customer 65,Product 5,3,17.00,51.00
O-1066,Customer 66,Product 6,4,18.00,72.00
O-1067,Customer 67,Product 7,5,19.00,95.00
O-1068,Customer 68,Product 8,6,20.00,120.00
O-1069,Customer 69,Product 9,7,21.00,147.00
O-1070,Customer 70,Product 0,1,22.00,22.00
O-1071,Customer 71,Product 1,2,23.00,46.00
O-1072,Customer 72,Product 2,3,24.00,72.00
Order ID,Customer,Item,Qty,Unit Price,Total,Notes
O-1073,Customer 73,Product 3,4,25.00,100.00
O-1074,Customer 74,Product 4,5,26.00,130.00
O-1075,Customer 75,Product 5,6,27.00,162.00
O-1076,Customer 76,Product 6,7,28.00,196.00
O-1077,Customer 77,Product 7,1,29.00,29.00
O-1078,Customer 78,Product 8,2,30.00,60.00
O-1079,Customer 79,Product 9,3,31.00,93.00
O-1080,Customer 80,Product 0,4,32.00,128.00
O-1081,Customer 81,Product 1,5,33.00,165.00
O-1082,Customer 82,Product 2,6,34.00,204.00
O-1083,Customer 83,Product 3,7,35.00,245.00
O-1084,Customer 84,Product 4,1,36.00,36.00
O-1085,Customer 85,Product 5,2,37.00,74.00
O-1086,Customer 86,Product 6,3,38.00,114.00
O-1087,Customer 87,Product 7,4,39.00,156.00
O-1088,Customer 88,Product 8,5,40.00,200.00
O-1089,Customer 89,Product 9,6,41.00,246.00
O-1090,Customer 90,Product 0,7,42.00,294.00
O-1091,Customer 91,Product 1,1,43.00,43.00
O-1092,Customer 92,Product 2,2,44.00,88.00
O-1093,Customer 93,Product 3,3,45.00,135.00
